question,answer,cleaned_answer
do you have information about anatomy,"summary : anatomy is the science that studies the structure of the body. on this page, you'll find links to descriptions and pictures of the human body's parts and organ systems from head to toe.",Anatomy is the science that studies the structure of the body.
do you have information about angioplasty,"summary : if you have coronary artery disease, the arteries in your heart are narrowed or blocked by a sticky material called plaque. angioplasty is a procedure to restore blood flow through the artery.    you have angioplasty in a hospital. the doctor threads a thin tube through a blood vessel in the arm or groin up to the involved site in the artery. the tube has a tiny balloon on the end. when the tube is in place, the doctor inflates the balloon to push the plaque outward against the wall of the artery. this widens the artery and restores blood flow.    doctors may use angioplasty to       - reduce chest pain caused by reduced blood flow to the heart    - minimize damage to heart muscle from a heart attack       many people go home the day after angioplasty, and are able to return to work within a week of coming home.    nih: national heart, lung, and blood institute","Angioplasty is a procedure to restore blood flow through a narrowed or blocked artery in the heart. A thin tube with a tiny balloon on the end is inserted through a blood vessel and guided to the affected area. The balloon is inflated to push plaque outward against the artery wall, widening the artery and restoring blood flow."
do you have information about antibiotic resistance,"summary : antibiotics are medicines that fight bacterial infections. used properly, they can save lives. but there is a growing problem of antibiotic resistance. it happens when bacteria change and become able to resist the effects of an antibiotic.     using antibiotics can lead to resistance. each time you take antibiotics, sensitive bacteria are killed. but resistant germs may be left to grow and multiply. they can spread to other people. they can also cause infections that certain antibiotics cannot cure. methicillin-resistant staphylococcus aureus (mrsa) is one example. it causes infections that are resistant to several common antibiotics.    to help prevent antibiotic resistance       - don't use antibiotics for viruses like colds or flu. antibiotics don't work on viruses.    - don't pressure your doctor to give you an antibiotic.     - when you take antibiotics, follow the directions carefully. finish your medicine even if you feel better. if you stop treatment too soon, some bacteria may survive and re-infect you.    - don't save antibiotics for later or use someone else's prescription.       centers for disease control and prevention","Antibiotics are medicines that fight bacterial infections, but there is a growing problem of antibiotic resistance. This occurs when bacteria change and become resistant to the effects of an antibiotic. Using antibiotics can lead to resistance, as sensitive bacteria are killed, while resistant germs may be left to grow and multiply. To help prevent antibiotic resistance, don't use antibiotics for viruses, don't pressure your doctor for an antibiotic, follow the directions carefully when taking antibiotics, and don't save antibiotics for later or use someone else's prescription."
do you have information about antibiotics,"summary : antibiotics are powerful medicines that fight bacterial infections. used properly, antibiotics can save lives. they either kill bacteria or keep them from reproducing. your body's natural defenses can usually take it from there.     antibiotics do not fight infections caused by viruses, such as       - colds     - flu     - most coughs and bronchitis     - sore throats, unless caused by strep        if a virus is making you sick, taking antibiotics may do more harm than good. using antibiotics when you don't need them, or not using them properly, can add to antibiotic resistance. this happens when bacteria change and become able to resist the effects of an antibiotic.    when you take antibiotics, follow the directions carefully. it is important to finish your medicine even if you feel better. if you stop treatment too soon, some bacteria may survive and re-infect you. do not save antibiotics for later or use someone else's prescription.     centers for disease control and prevention","Antibiotics are powerful medicines that fight bacterial infections by killing or preventing bacteria from reproducing. They do not work against viral infections, such as colds, flu, and most coughs and bronchitis. Using antibiotics when not needed or not following directions can lead to antibiotic resistance, where bacteria become resistant to the medicine. It's essential to follow the directions carefully and finish the medicine even if you feel better to avoid re-infection."
do you have information about antidepressants,"summary : antidepressants are medicines that treat depression. your doctor can prescribe them for you. they work to balance some of the natural chemicals in our brains. it may take several weeks for them to help. there are several types of antidepressants. you and your doctor may have to try a few before finding what works best for you.    antidepressants may cause mild side effects that usually do not last long. these may include headache, nausea, sleep problems, restlessness, and sexual problems. tell your doctor if you have any side effects. you should also let your doctor know if you take any other medicines, vitamins, or herbal supplements.    it is important to keep taking your medicines, even if you feel better. do not stop taking your medicines without talking to your doctor. you often need to stop antidepressants gradually.    nih: national institute of mental health","Antidepressants are medicines that treat depression by balancing natural chemicals in the brain. They may take several weeks to work and come in different types. It may take trying a few before finding the right one. Mild side effects are common, such as headache, nausea, and sleep problems, but usually don't last long. It's important to keep taking the medicine as prescribed and not stop without talking to your doctor."
do you have information about antioxidants,"summary : antioxidants are man-made or natural substances that may prevent or delay some types of cell damage. antioxidants are found in many foods, including fruits and vegetables. they are also available as dietary supplements. examples of antioxidants include       -  beta-carotene     -  lutein     -  lycopene    -  selenium    -  vitamin a    -  vitamin c    -  vitamin e       vegetables and fruits are rich sources of antioxidants. there is good evidence that eating a diet with lots of vegetables and fruits is healthy and lowers risks of certain diseases. but it isn't clear whether this is because of the antioxidants, something else in the foods, or other factors.    high-dose supplements of antioxidants may be linked to health risks in some cases. for example, high doses of beta-carotene may increase the risk of lung cancer in smokers. high doses of vitamin e may increase risks of prostate cancer and one type of stroke. antioxidant supplements may also interact with some medicines. to minimize risk, tell you of your health care providers about any antioxidants you use.    nih: national center for complementary and integrative health","Antioxidants are man-made or natural substances that may prevent or delay cell damage. They are found in many foods, including fruits and vegetables, and are also available as dietary supplements. Examples of antioxidants include beta-carotene, lutein, lycopene, selenium, vitamin A, vitamin C, and vitamin E. While eating a diet rich in vegetables and fruits is healthy, it's unclear whether this is due to the antioxidants or other factors. High-dose supplements may be linked to health risks, and interacting with medicines is also a concern."
do you have information about arsenic,"summary : arsenic is a natural element found in soil and minerals. arsenic compounds are used to preserve wood, as pesticides, and in some industries. arsenic can get into air, water, and the ground from wind-blown dust. it may also get into water from runoff.     you may be exposed to arsenic by       - taking in small amounts in food, drinking water, or air     - breathing sawdust or burning smoke from arsenic-treated wood     - living in an area with high levels of arsenic in rock    - working in a job where arsenic is made or used       exposure to arsenic can cause many health problems. being exposed to low levels for a long time can change the color of your skin. it can cause corns and small warts. exposure to high levels of arsenic can cause death.    agency for toxic substances disease registry","Arsenic is a natural element found in soil and minerals. It can get into air, water, and ground from wind-blown dust or runoff. Exposure to arsenic can occur through food, water, air, sawdust, or burning smoke from treated wood, or living/working in areas with high levels of arsenic in rock. Prolonged exposure can cause skin discoloration, corns, and warts, while high levels can be fatal."
do you have information about artificial limbs,"summary : people can lose all or part of an arm or leg for a number of reasons. common ones include       - circulation problems from atherosclerosis or diabetes. they may cause you to need an amputation.    - traumatic injuries, including from traffic accidents and military combat    - cancer    - birth defects       if you are missing an arm or leg, an artificial limb can sometimes replace it. the device, which is called a prosthesis, can help you to perform daily activities such as walking, eating, or dressing. some artificial limbs let you function nearly as well as before.","People can lose an arm or leg due to various reasons such as circulation problems, traumatic injuries, cancer, or birth defects. Artificial limbs, also known as prostheses, can replace the missing limb and help with daily activities like walking, eating, or dressing, allowing for nearly normal functioning."
do you have information about asbestos,"summary : asbestos is the name of a group of minerals with long, thin fibers. it was once used widely as insulation. it also occurs in the environment. asbestos fibers are so small you can't see them. if you disturb asbestos, the fibers can float in the air. this makes them easy to inhale, and some may become lodged in the lungs.    if you breathe in high levels of asbestos over a long period of time, the fibers can build up in the lungs. this causes scarring and inflammation, and can affect breathing. eventually it can lead to diseases such as       - asbestosis, or scarring of the lungs that makes it hard to breathe    - mesothelioma, a rare cancer that affects the lining of the lungs or abdomen    - lung cancer       lung diseases associated with asbestos usually develop over many years. people who become ill from asbestos are usually exposed on the job over long periods of time. smoking cigarettes increases the risk.    agency for toxic substances and disease registry","Asbestos is a group of minerals with long, thin fibers that were once used as insulation. The fibers are so small they can't be seen, and if disturbed, they can float in the air, making them easy to inhale. Prolonged inhalation of high levels of asbestos can cause scarring and inflammation in the lungs, leading to diseases such as asbestosis, mesothelioma, and lung cancer."
do you have information about asian american health,"summary : every racial or ethnic group has specific health concerns. differences in the health of groups can result from       - genetics    - environmental factors    - access to care    - cultural factors        on this page, you'll find links to health issues that affect asian americans.","Asian Americans have specific health concerns due to genetics, environmental factors, access to care, and cultural factors."
do you have information about assisted living,"summary : assisted living is for adults who need help with everyday tasks. they may need help with dressing, bathing, eating, or using the bathroom, but they don't need full-time nursing care. some assisted living facilities are part of retirement communities. others are near nursing homes, so a person can move easily if needs change.    assisted living costs less than nursing home care. it is still fairly expensive. older people or their families usually pay for it. health and long-term care insurance policies may cover some of the costs. medicare does not cover the costs of assisted living.     administration on aging","Assisted living is for adults who need help with daily tasks, such as dressing, bathing, and eating, but don't require full-time nursing care. It's a more affordable option than nursing home care, with costs typically covered by individuals or their families, and sometimes by health and long-term care insurance policies."
do you have information about assisted reproductive technology,"summary : assisted reproductive technology (art) is used to treat infertility. it includes fertility treatments that handle both a woman's egg and a man's sperm. it works by removing eggs from a woman's body. the eggs are then mixed with sperm to make embryos. the embryos are then put back in the woman's body. in vitro fertilization (ivf) is the most common and effective type of art.     art procedures sometimes use donor eggs, donor sperm, or previously frozen embryos. it may also involve a surrogate or gestational carrier. a surrogate is a woman who becomes pregnant with sperm from the male partner of the couple. a gestational carrier becomes pregnant with an egg from the female partner and the sperm from the male partner.     the most common complication of art is a multiple pregnancy. it can be prevented or minimized by limiting the number of embryos that are put into the woman's body.","Assisted reproductive technology (ART) is used to treat infertility, involving fertility treatments that handle both a woman's egg and a man's sperm. It works by removing eggs, mixing them with sperm to create embryos, and then placing them back in the woman's body. IVF is the most common and effective type. ART procedures may use donor eggs, sperm, or previously frozen embryos, and may involve a surrogate or gestational carrier. The most common complication is a multiple pregnancy, which can be prevented or minimized by limiting the number of embryos transferred."
do you have information about assistive devices,"summary : if you have a disability or injury, you may use a number of assistive devices. these are tools, products or types of equipment that help you perform tasks and activities. they may help you move around, see, communicate, eat, or get dressed. some are high-tech tools, such as computers. others are much simpler, like a ""reacher"" - a tool that helps you grab an object you can't reach.","Assistive devices are tools, products, or equipment that help individuals with disabilities or injuries perform daily tasks and activities. They can aid movement, vision, communication, eating, and dressing, ranging from high-tech computers to simpler tools like a ""reacher"" for grabbing hard-to-reach objects."
do you have information about b vitamins,"summary : the b vitamins are       - b1 (thiamine)    - b2 (riboflavin)    - b3 (niacin)    - b5 (pantothenic acid)    - b6    -  b7 (biotin)    - b12    - folic acid       these vitamins help the process your body uses to get or make energy from the food you eat. they also help form red blood cells. you can get b vitamins from proteins such as fish, poultry, meat, eggs, and dairy products. leafy green vegetables, beans, and peas also have b vitamins. many cereals and some breads have added b vitamins.    not getting enough of certain b vitamins can cause diseases. a lack of b12 or b6 can cause anemia.","The B vitamins are: B1 (thiamine), B2 (riboflavin), B3 (niacin), B5 (pantothenic acid), B6, B7 (biotin), B12, and folic acid. They help the body process energy from food and form red blood cells. B vitamins can be found in proteins like fish, poultry, and dairy products, as well as leafy greens, beans, and peas."
do you have information about baby health checkup,"summary : there are many new responsibilities when you have a baby. one of them is to make sure they get the checkups that they need. well-baby exams are important in making sure that your baby is growing and developing properly. if there are problems, you can catch them early. this means that there is a better chance for treatment.    during these checkups, your baby will get any needed immunizations and screenings. this is also a good chance to ask your health care provider any questions about how to care for your baby.","Well-baby exams are important to ensure your baby's proper growth and development. They help catch any potential problems early, allowing for better treatment. During these checkups, your baby will receive necessary immunizations and screenings, and you can ask your healthcare provider questions about caring for your baby."
do you have information about biodefense and bioterrorism,"summary : a bioterrorism attack is the deliberate release of viruses, bacteria, or other germs to cause illness or death. these germs are often found in nature. but they can sometimes be made more harmful by increasing their ability to cause disease, spread, or resist medical treatment.    biological agents spread through the air, water, or in food. some can also spread from person to person. they can be very hard to detect. they don't cause illness for several hours or days. scientists worry that anthrax, botulism, ebola and other hemorrhagic fever viruses, plague, or smallpox could be used as biological agents.    biodefense uses medical measures to protect people against bioterrorism. this includes medicines and vaccinations. it also includes medical research and preparations to defend against bioterrorist attacks.    centers for disease control and prevention","Biodefense and bioterrorism refer to the deliberate release of viruses, bacteria, or other germs to cause illness or death. These germs can be made more harmful by increasing their ability to cause disease, spread, or resist medical treatment. Biological agents can spread through the air, water, or food, and can be very hard to detect, often causing illness hours or days after exposure."
do you have information about biopsy,"summary : a biopsy is a procedure that removes cells or tissue from your body. a doctor called a pathologist looks at the cells or tissue under a microscope to check for damage or disease. the pathologist may also do other tests on it.    biopsies can be done on all parts of the body. in most cases, a biopsy is the only test that can tell for sure if a suspicious area is cancer. but biopsies are performed for many other reasons too.    there are different types of biopsies. a needle biopsy removes tissue with a needle passed through your skin to the site of the problem. other kinds of biopsies may require surgery.","A biopsy is a procedure that removes cells or tissue from the body. A pathologist examines the cells or tissue under a microscope to check for damage or disease, and may perform additional tests."
do you have information about birth weight,"summary : birth weight is the first weight of your baby, taken just after he or she is born. a low birth weight is less than 5.5 pounds. a high birth weight is more than 8.8 pounds.    a low birth weight baby can be born too small, too early (premature), or both. this can happen for many different reasons. they include health problems in the mother, genetic factors, problems with the placenta and substance abuse by the mother.    some low birth weight babies may be more at risk for certain health problems. some may become sick in the first days of life or develop infections. others may suffer from longer-term problems such as delayed motor and social development or learning disabilities.    high birth weight babies are often big because the parents are big, or the mother has diabetes during pregnancy. these babies may be at a higher risk of birth injuries and problems with blood sugar.    centers for disease control and prevention","Birth weight is the first weight of a baby, taken just after birth. A low birth weight is less than 5.5 pounds, while a high birth weight is more than 8.8 pounds. Low birth weight babies can be at risk for health problems, including premature birth, infections, and delayed development. High birth weight babies may be at risk for birth injuries and blood sugar problems."
do you have information about blood,"summary : your blood is living tissue made up of liquid and solids. the liquid part, called plasma, is made of water, salts, and protein. over half of your blood is plasma. the solid part of your blood contains red blood cells, white blood cells, and platelets.    red blood cells (rbc) deliver oxygen from your lungs to your tissues and organs. white blood cells (wbc) fight infection and are part of your body's defense system. platelets help blood to clot when you have a cut or wound. bone marrow, the spongy material inside your bones, makes new blood cells. blood cells constantly die and your body makes new ones. red blood cells live about 120 days, and platelets live about 6 days. some white blood cells live less than a day, but others live much longer.    blood tests show whether the levels of substances in your blood are within a normal range. they help doctors check for certain diseases and conditions. they also help check the function of your organs and show how well treatments are working.some of the most common blood tests are blood count tests, which measure the number, size, and shape of cells and platelets in the blood.    problems with your blood may include bleeding disorders, excessive clotting and platelet disorders. if you lose too much blood, you may need a transfusion.","Your blood is living tissue made up of liquid and solids. The liquid part, plasma, is made of water, salts, and protein, making up over half of your blood. The solid part contains red blood cells, white blood cells, and platelets. Red blood cells deliver oxygen, white blood cells fight infection, and platelets help blood clot. Bone marrow produces new blood cells, and blood tests check for diseases and conditions, measuring cell and platelet levels, and organ function."
do you have information about blood clots,"summary : normally, if you get hurt, your body forms a blood clot to stop the bleeding. some people get too many clots or their blood clots abnormally. many conditions can cause the blood to clot too much or prevent blood clots from dissolving properly.    risk factors for excessive blood clotting include       - certain genetic disorders    - atherosclerosis    - diabetes    - atrial fibrillation    - overweight, obesity, and metabolic syndrome    - some medicines    - smoking    blood clots can form in, or travel to, the blood vessels in the brain, heart, kidneys, lungs, and limbs. a clot in the veins deep in the limbs is called   deep vein thrombosis (dvt). dvt usually affects the deep veins of the legs. if a blood clot in a deep vein breaks off and travels through the bloodstream to the lungs and blocks blood flow, the condition is called   pulmonary embolism. other complications of blood clots include   stroke,   heart attack, kidney problems and kidney failure, and pregnancy-related problems. treatments for blood clots include   blood thinners and other medicines.","Normally, the body forms blood clots to stop bleeding. However, some people get too many clots or their blood clots abnormally. Risk factors include certain genetic disorders, atherosclerosis, diabetes, atrial fibrillation, overweight, obesity, and some medicines. Blood clots can form in various blood vessels, including the brain, heart, kidneys, lungs, and limbs. Treatments include blood thinners and other medicines."
do you have information about blood count tests,"summary : your blood contains red blood cells (rbc), white blood cells (wbc), and platelets. blood count tests measure the number and types of cells in your blood. this helps doctors check on your overall health. the tests can also help to diagnose diseases and conditions such as anemia, infections, clotting problems, blood cancers, and immune system disorders.    specific types include tests for       - rbc - the numbers, size, and types of rbc in the blood    - wbc - the numbers and types of wbc in the blood    - platelets - the numbers and size of the platelets    - hemoglobin - an iron-rich protein in red blood cells that carries oxygen    - hematocrit - how much space red blood cells take up in your blood    - reticulocyte count - how many young red blood cells are in your blood    - mean corpuscular volume (mcv) - the average size of your red blood cells       the complete blood count (cbc) includes most or all of these. the cbc is one of the most common blood tests.    nih: national heart, lung, and blood institute","Blood count tests measure the number and types of cells in your blood, helping doctors check your overall health and diagnose diseases such as anemia, infections, and blood cancers. The tests include counts for red blood cells, white blood cells, platelets, hemoglobin, hematocrit, reticulocyte count, and mean corpuscular volume."
do you have information about blood sugar,"summary : blood sugar, or glucose, is the main sugar found in your blood. it comes from the food you eat, and is your body's main source of energy. your blood carries glucose to all of your body's cells to use for energy.    diabetes is a disease in which your blood sugar levels are too high. over time, having too much glucose in your blood can cause serious problems. even if you don't have diabetes, sometimes you may have problems with blood sugar that is too low or too high. keeping a regular schedule of eating, activity, and taking any medicines you need can help.    if you do have diabetes, it is very important to keep your blood sugar numbers in your target range. you may need to check your blood sugar several times each day. your health care provider will also do a blood test called an a1c. it checks your average blood sugar level over the past three months. if your blood sugar is too high, you may need to take medicines and/or follow a special diet.    nih: national institute of diabetes and digestive and kidney diseases","Blood sugar, or glucose, is the main sugar found in your blood, coming from the food you eat and serving as your body's main source of energy. Your blood carries glucose to all your body's cells for energy. Having too much glucose in your blood can cause serious problems, including diabetes, and even if you don't have diabetes, you may experience problems with blood sugar levels that are too low or too high."
do you have information about blood thinners,"summary : if you have some kinds of heart or blood vessel disease, or if you have poor blood flow to your brain, your doctor may recommend that you take a blood thinner. blood thinners reduce the risk of heart attack and stroke by reducing the formation of blood clots in your arteries and veins. you may also take a blood thinner if you have       - an abnormal heart rhythm called atrial fibrillation    - heart valve surgery    - congenital heart defects       there are two main types of blood thinners. anticoagulants, such as heparin or warfarin (also called coumadin), work on chemical reactions in your body to lengthen the time it takes to form a blood clot. antiplatelet drugs, such as aspirin, prevent blood cells called platelets from clumping together to form a clot.    when you take a blood thinner, follow directions carefully. make sure that your healthcare provider knows all of the medicines and supplements you are using.","If you have heart or blood vessel disease, poor blood flow to your brain, atrial fibrillation, heart valve surgery, or congenital heart defects, your doctor may recommend a blood thinner. Blood thinners reduce the risk of heart attack and stroke by preventing blood clots. There are two main types: anticoagulants, which work on chemical reactions, and antiplatelet drugs, which prevent platelets from clumping together."
do you have information about blood transfusion and donation,"summary : every year, millions of people in the united states receive life-saving blood transfusions. during a transfusion, you receive whole blood or parts of blood such as       -  red blood cells - cells that carry oxygen to and from tissues and organs    - platelets - cells that form clots to control bleeding    - plasma - the liquid part of the blood that helps clotting. you may need it if you have been badly burned, have liver failure or a severe infection.       most blood transfusions go very smoothly. some infectious agents, such as hiv, can survive in blood and infect the person receiving the blood transfusion. to keep blood safe, blood banks carefully screen donated blood. the risk of catching a virus from a blood transfusion is low.    sometimes it is possible to have a transfusion of your own blood. during surgery, you may need a blood transfusion because of blood loss. if you are having a surgery that you're able to schedule months in advance, your doctor may ask whether you would like to use your own blood, instead of donated blood. if so, you will need to have blood drawn one or more times before the surgery. a blood bank will store your blood for your use.    nih: national heart, lung, and blood institute","Millions of people in the US receive life-saving blood transfusions each year. During a transfusion, you receive whole blood or parts of blood such as red blood cells, platelets, or plasma. Most transfusions go smoothly, but there is a low risk of catching a virus from the blood. To minimize this risk, blood banks carefully screen donated blood. In some cases, it's possible to have a transfusion of your own blood, which can be stored by a blood bank for future use."
