question,answer
do you have information about antibiotics,antibiotics are powerful medicines that fight bacterial infections by killing or preventing bacteria from reproducing they do not work against viral infections such as colds flu and most coughs and bronchitis using antibiotics when not needed or not following directions can lead to antibiotic resistance where bacteria become resistant to the medicine its essential to follow the directions carefully and finish the medicine even if you feel better to avoid re-infection
do you have information about antidepressants,antidepressants are medicines that treat depression by balancing natural chemicals in the brain they may take several weeks to work and come in different types it may take trying a few before finding the right one mild side effects are common such as headache nausea and sleep problems but usually dont last long its important to keep taking the medicine as prescribed and not stop without talking to your doctor
do you have information about antioxidants,antioxidants are man-made or natural substances that may prevent or delay cell damage they are found in many foods including fruits and vegetables and are also available as dietary supplements examples of antioxidants include beta-carotene lutein lycopene selenium vitamin a vitamin c and vitamin e while eating a diet rich in vegetables and fruits is healthy its unclear whether this is due to the antioxidants or other factors high-dose supplements may be linked to health risks and interacting with medicines is also a concern
do you have information about arsenic,arsenic is a natural element found in soil and minerals it can get into air water and ground from wind-blown dust or runoff exposure to arsenic can occur through food water air sawdust or burning smoke from treated wood or living/working in areas with high levels of arsenic in rock prolonged exposure can cause skin discoloration corns and warts while high levels can be fatal
do you have information about artificial limbs,people can lose an arm or leg due to various reasons such as circulation problems traumatic injuries cancer or birth defects artificial limbs also known as prostheses can replace the missing limb and help with daily activities like walking eating or dressing allowing for nearly normal functioning
do you have information about asbestos,asbestos is a group of minerals with long thin fibers that were once used as insulation the fibers are so small they cant be seen and if disturbed they can float in the air making them easy to inhale prolonged inhalation of high levels of asbestos can cause scarring and inflammation in the lungs leading to diseases such as asbestosis mesothelioma and lung cancer
do you have information about asian american health,asian americans have specific health concerns due to genetics environmental factors access to care and cultural factors
do you have information about assisted living,assisted living is for adults who need help with daily tasks such as dressing bathing and eating but dont require full-time nursing care its a more affordable option than nursing home care with costs typically covered by individuals or their families and sometimes by health and long-term care insurance policies
do you have information about assisted reproductive technology,assisted reproductive technology art is used to treat infertility involving fertility treatments that handle both a womans egg and a mans sperm it works by removing eggs mixing them with sperm to create embryos and then placing them back in the womans body ivf is the most common and effective type art procedures may use donor eggs sperm or previously frozen embryos and may involve a surrogate or gestational carrier the most common complication is a multiple pregnancy which can be prevented or minimized by limiting the number of embryos transferred
do you have information about assistive devices,assistive devices are tools products or equipment that help individuals with disabilities or injuries perform daily tasks and activities they can aid movement vision communication eating and dressing ranging from high-tech computers to simpler tools like a reacher for grabbing hard-to-reach objects
do you have information about b vitamins,the b vitamins are b1 thiamine b2 riboflavin b3 niacin b5 pantothenic acid b6 b7 biotin b12 and folic acid they help the body process energy from food and form red blood cells b vitamins can be found in proteins like fish poultry and dairy products as well as leafy greens beans and peas
do you have information about baby health checkup,well-baby exams are important to ensure your babys proper growth and development they help catch any potential problems early allowing for better treatment during these checkups your baby will receive necessary immunizations and screenings and you can ask your healthcare provider questions about caring for your baby
do you have information about biodefense and bioterrorism,biodefense and bioterrorism refer to the deliberate release of viruses bacteria or other germs to cause illness or death these germs can be made more harmful by increasing their ability to cause disease spread or resist medical treatment biological agents can spread through the air water or food and can be very hard to detect often causing illness hours or days after exposure
do you have information about biopsy,a biopsy is a procedure that removes cells or tissue from the body a pathologist examines the cells or tissue under a microscope to check for damage or disease and may perform additional tests
do you have information about birth weight,birth weight is the first weight of a baby taken just after birth a low birth weight is less than 55 pounds while a high birth weight is more than 88 pounds low birth weight babies can be at risk for health problems including premature birth infections and delayed development high birth weight babies may be at risk for birth injuries and blood sugar problems
do you have information about blood,your blood is living tissue made up of liquid and solids the liquid part plasma is made of water salts and protein making up over half of your blood the solid part contains red blood cells white blood cells and platelets red blood cells deliver oxygen white blood cells fight infection and platelets help blood clot bone marrow produces new blood cells and blood tests check for diseases and conditions measuring cell and platelet levels and organ function
do you have information about blood clots,normally the body forms blood clots to stop bleeding however some people get too many clots or their blood clots abnormally risk factors include certain genetic disorders atherosclerosis diabetes atrial fibrillation overweight obesity and some medicines blood clots can form in various blood vessels including the brain heart kidneys lungs and limbs treatments include blood thinners and other medicines
do you have information about blood count tests,blood count tests measure the number and types of cells in your blood helping doctors check your overall health and diagnose diseases such as anemia infections and blood cancers the tests include counts for red blood cells white blood cells platelets hemoglobin hematocrit reticulocyte count and mean corpuscular volume
do you have information about blood sugar,blood sugar or glucose is the main sugar found in your blood coming from the food you eat and serving as your bodys main source of energy your blood carries glucose to all your bodys cells for energy having too much glucose in your blood can cause serious problems including diabetes and even if you dont have diabetes you may experience problems with blood sugar levels that are too low or too high
do you have information about blood thinners,if you have heart or blood vessel disease poor blood flow to your brain atrial fibrillation heart valve surgery or congenital heart defects your doctor may recommend a blood thinner blood thinners reduce the risk of heart attack and stroke by preventing blood clots there are two main types anticoagulants which work on chemical reactions and antiplatelet drugs which prevent platelets from clumping together
do you have information about blood transfusion and donation,millions of people in the us receive life-saving blood transfusions each year during a transfusion you receive whole blood or parts of blood such as red blood cells platelets or plasma most transfusions go smoothly but there is a low risk of catching a virus from the blood to minimize this risk blood banks carefully screen donated blood in some cases its possible to have a transfusion of your own blood which can be stored by a blood bank for future use
do you have information about body weight,your healthy body weight depends on your sex height and age it can be classified as underweight normal overweight or obese a sudden change in weight can be a sign of a medical problem such as thyroid issues cancer or digestive diseases good nutrition and exercise can help with weight loss or gain
do you have information about bone density,strong bones are important for your health a bone mineral density bmd test measures your bone health by comparing it to that of a healthy person of the same age and sex it can show whether you have osteoporosis your risk for breaking bones and whether your treatment is working low bone mass also known as osteopenia can be caused by family history poor bone development and certain conditions or medicines eating calcium-rich foods and doing weight-bearing exercises can help slow down bone loss and in some cases your doctor may prescribe medicines to prevent osteoporosis
do you have information about bone grafts,a bone graft transplants bone tissue to repair and rebuild diseased bones or repair bone loss caused by fractures or cancers the transplanted bone can come from another person allograft or another part of your own body autograft
do you have information about bone marrow transplantation,bone marrow is a spongy tissue inside some bones that contains immature stem cells these stem cells can develop into red blood cells white blood cells and platelets a bone marrow transplant replaces a persons faulty stem cells to treat diseases such as leukemia severe blood diseases multiple myeloma and certain immune deficiency diseases before the transplant high doses of chemotherapy and radiation are used to destroy the faulty stem cells and suppress the immune system
do you have information about botox,botox is a drug made from a toxin produced by the bacterium clostridium botulinum its used in small doses to treat various health problems including facial wrinkles severe underarm sweating and neurological disorders it works by weakening or paralyzing muscles or blocking nerves with effects lasting three to twelve months common side effects include pain swelling or bruising at the injection site as well as flu-like symptoms headache and upset stomach
do you have information about bowel movement,a bowel movement is the final stage of food movement through the digestive tract where stool passes out of the body through the rectum and anus stool is made of remaining food particles after nutrients and fluids are absorbed by the digestive system abnormalities in bowel movements such as diarrhea constipation or bowel incontinence may indicate a digestive problem
do you have information about breast reconstruction,if you need a mastectomy you have a choice about whether to have breast reconstruction surgery to rebuild the shape of the breast alternatively you can choose to wear a breast form padding or do nothing breast reconstruction may be done at the same time as the mastectomy or later on depending on your treatment plan if youre considering reconstruction talk to a plastic surgeon before the mastectomy even if you plan to have it later the type of reconstruction best for you depends on your age body type and cancer surgery type
do you have information about breastfeeding,breastfeeding offers many benefits to your baby including the right balance of nutrients for growth and protection against common childhood illnesses it may also help your health with certain types of cancer occurring less often in mothers who breastfeed women without health problems should aim to breastfeed for at least six months while those with health problems can usually still breastfeed however certain substances like medicines drugs and alcohol can pass through breast milk and harm the baby
do you have information about caffeine,caffeine is a bitter substance found in various foods and drinks which stimulates the central nervous system making you more alert and energetic moderate consumption of 2-4 cups of coffee a day is generally safe but excessive intake can cause issues like jitteriness insomnia headaches and dehydration some individuals may be more sensitive to caffeines effects and certain groups such as pregnant and nursing women should limit their consumption
do you have information about calcium,calcium has many important jobs in the body including helping to make and keep bones and teeth strong contracting and expanding muscles and blood vessels and sending messages through the nervous system it is important to get plenty of calcium in your diet which can be found in foods such as dairy products leafy green vegetables fish with soft bones and calcium-enriched foods the exact amount of calcium needed depends on age and other factors and people who do not eat enough high-calcium foods may need to take a supplement
do you have information about cancer alternative therapies,people with cancer may use complementary and alternative medicine cam to help cope with treatment side effects ease worries and stress or feel more in control of their care examples of cam therapies include acupuncture chiropractic and herbal medicines some methods such as acupuncture may help with nausea pain and other side effects its essential to discuss cam treatments with your doctor to ensure they work with your standard care
do you have information about cancer chemotherapy,cancer chemotherapy is a drug therapy that kills or stops cancer cells from multiplying however it can also harm healthy cells causing side effects like nausea vomiting tiredness pain and hair loss the type and dose of chemotherapy determine the side effects which usually subside as healthy cells recover treatment frequency and method depend on the cancer type treatment goal and body response
do you have information about cancerliving with cancer,cancer is common with half of all men and a third of women expected to receive a diagnosis in their lifetime many people with cancer survive and millions of americans are alive today with a history of the disease living with cancer can be challenging changing routines roles and relationships and causing financial and work problems
do you have information about carbohydrates,carbohydrates are a main source of energy for the body broken down into glucose blood sugar for energy and stored in the liver and muscles they are classified as simple or complex with simple carbohydrates including natural sugars in foods and added sugars and complex carbohydrates including whole grains starchy vegetables and legumes
do you have information about cardiac rehabilitation,cardiac rehabilitation is a medically supervised program to help people recover from heart-related conditions such as heart attack angioplasty heart valve repair heart transplant angina and heart failure the goal is to help return to an active life and reduce the risk of further heart problems a team of specialists creates a personalized plan including exercise training education on heart-healthy living and counseling to reduce stress
do you have information about caregivers,caregivers provide help to another person in need doing tasks such as shopping cleaning paying bills giving medicine and providing emotional support they may be family members or paid caregivers and their work can be stressful especially for those caring for chronically ill people or those with mental health issues like alzheimers disease
do you have information about cervical cancer screening,cervical cancer screening is a test to detect cancer before symptoms appear its usually part of a womans health checkup and involves collecting cells from the cervix there are two types of tests the pap test and the hpv test the pap test checks for cancer cells or abnormal cells while the hpv test checks for hpv infection which can lead to cancer if test results are abnormal further tests may be needed while there are risks to screening it has been shown to decrease cervical cancer deaths
do you have information about cesarean section,a cesarean section c-section is surgery to deliver a baby through the mothers abdomen in the us about one in four women have their babies this way usually due to unexpected problems during delivery such as health issues baby position or lack of vaginal room c-sections are also more common among women carrying multiple babies while relatively safe the surgery carries risks and recovery takes longer than vaginal birth
do you have information about child care,childrens healthy development depends on safe and positive experiences when they are very young when youre away you want to know your child is in good hands you may choose in-home care child care centers or a caregivers home its essential to get to know your childs caregivers who will be a big part of their life
do you have information about child dental health,healthy teeth are important to your childs overall health to promote healthy teeth and prevent cavities clean your babys teeth with a soft cloth or baby toothbrush avoid bedtime bottles and check for spots or stains for all children use a pea-sized amount of fluoride toothpaste at age 2 provide healthy foods limit sweet snacks and drinks and schedule regular dental check-ups
do you have information about child development,children develop physically intellectually socially and emotionally at different rates its hard to define normal due to varying heights weights and builds among healthy children factors like diet exercise and genes influence growth children may start puberty early or become more independent seeking peer approval and trying new behaviors to fit in this can also be a time when learning disabilities or behavioral problems emerge so early intervention is crucial
do you have information about child mental health,recognizing and treating mental illnesses in children early on is crucial as it becomes more difficult to treat once it develops warning signs of a serious problem include changes in behavior in multiple settings appetite or sleep changes social withdrawal and self-destructive behavior a doctor or mental health specialist will diagnose mental health problems by examining signs and symptoms medical history and family history and may prescribe medicines or talk therapy
do you have information about child nutrition,a healthy diet helps children grow and learn preventing obesity and weight-related diseases to give your child a nutritious diet make half of their plate fruits and vegetables choose healthy protein sources and serve whole-grain breads and cereals
do you have information about child safety,install the right child safety seat in your car teach children how to cross the street safely make sure they wear the right gear and equipment for sports install and test smoke alarms store medicines cleaners and other dangerous substances in locked cabinets babyproof your home dont leave small children unattended
do you have information about childhood immunization,children in the us receive vaccines that protect them from over a dozen diseases such as measles polio and pertussis most of these diseases are at their lowest levels in history due to years of immunization children must receive some vaccines before attending school and vaccines help make you immune to serious diseases without getting sick first
do you have information about childrens health,childrens health includes physical mental and social well-being parents know the basics of keeping children healthy such as offering healthy foods ensuring enough sleep and exercise and insuring safety regular checkups with a healthcare provider are also important to monitor development and catch or prevent problems
do you have information about childrens page,this page is for kids where you can learn about the body hospitals and more there are quizzes games and cool websites to explore
do you have information about chiropractic,chiropractic is a healthcare profession that involves performing adjustments manipulations to the spine or other parts of the body to correct alignment problems ease pain and support the bodys natural ability to heal itself chiropractors may also use other treatments such as heat and ice electrical stimulation relaxation techniques and rehabilitative exercises
do you have information about cholesterol,cholesterol is a natural substance in the body thats necessary for proper functioning however high levels in the blood can combine with other substances and stick to artery walls increasing the risk of heart disease high cholesterol often has no symptoms but it can be detected with a blood test factors that increase the risk of high cholesterol include family history being overweight and a diet high in fatty foods lowering cholesterol can be achieved through exercise a healthy diet and potentially medication
do you have information about circumcision,circumcision is the removal of the foreskin which covers the tip of the penis it is often done before a baby leaves the hospital in the us there are medical benefits and risks including a lower risk of urinary tract infections penile cancer and sexually transmitted diseases but also pain and a low risk of bleeding or infection the american academy of pediatrics recommends parents make this decision in consultation with their pediatrician considering religious cultural and personal preferences
do you have information about climate change,climate change is a major change in temperature rainfall snow or wind patterns lasting for many years caused by natural or human factors it can affect our health by leading to heat-related illnesses increased allergies and asthma and the spread of diseases climate change can also cause floods rising sea levels and extreme weather events resulting in contamination of food and water death injuries stress and mental health problems
do you have information about clinical trials,clinical trials are research studies that test new medical approaches in people to answer scientific questions and find better ways to prevent diagnose or treat diseases each study has a protocol outlining what will be done how it will be conducted and why each part is necessary the institutional review board irb reviews monitors and approves many clinical trials to ensure they are ethical protect participants rights and have reasonable risks compared to potential benefits
do you have information about cloning,cloning describes the process of creating an exact genetic replica of another cell tissue or organism there are three types of cloning gene cloning reproductive cloning and therapeutic cloning
do you have information about club drugs,club drugs are a group of psychoactive substances that affect the central nervous system causing changes in mood awareness and behavior they are often abused by young adults at parties clubs and bars examples of club drugs include mdma ecstasy ghb ketamine rohypnol methamphetamine and lsd while some have approved medical uses others are abused and can cause serious health problems even death especially when used with alcohol
do you have information about cocaine,cocaine is a white powder or small white rocks crack that can be snorted injected or smoked it speeds up the body causing feelings of energy happiness and excitement but can also lead to mood swings irrational behavior and a strong craving to use it again cocaine is dangerous increasing the risk of heart attack stroke hiv/aids and hepatitis and can lead to addiction and long-term cravings
do you have information about cochlear implants,a cochlear implant is a small electronic device that can help profoundly deaf or severely hard-of-hearing people understand sound it consists of two parts one sits behind the ear and the other is surgically placed under the skin
do you have information about cold and cough medicines,sneezing sore throat a stuffy nose and coughing are common symptoms of the common cold to alleviate symptoms you can take cold and cough medicines which come in different forms and functions these include nasal decongestants cough suppressants expectorants antihistamines and pain relievers when taking these medicines read labels be aware of potential risks and do not give them to children under four or use aspirin on children
do you have information about college health,college life involves excitement and new challenges but also risks and responsibilities to stay healthy and safe take steps such as eating a balanced diet getting enough sleep exercising regularly and practicing safe sex make smart choices about alcohol and drugs and seek help if youre stressed or depressed
do you have information about colonoscopy,colonoscopy and sigmoidoscopy are procedures that allow your doctor to examine your large intestine using a scope with a tiny camera colonoscopy checks the entire colon and rectum while sigmoidoscopy checks the rectum and lower colon these procedures can help diagnose cancer unexplained changes in bowel habits and symptoms like abdominal pain rectal bleeding and weight loss your doctor may also remove polyps during the procedure
do you have information about common infant and newborn problems,common health problems in babies include colds coughs fevers and vomiting as well as skin issues like diaper rash and cradle cap many of these issues are not serious but its crucial to know how to help your sick baby and recognize warning signs for more serious problems
do you have information about complementary and integrative medicine,many americans use medical treatments not part of mainstream medicine known as complementary integrative or alternative medicine complementary medicine is used together with mainstream care such as using acupuncture to help with cancer treatment side effects integrative medicine offers both types of care while alternative medicine replaces mainstream care however the safety and effectiveness of many non-mainstream treatments are unknown and researchers are studying their safety and usefulness to minimize risks discuss with your doctor research the treatment choose practitioners carefully and inform all doctors and practitioners about all treatments used
do you have information about coping with disasters,after going through a disaster you may feel dazed sad helpless or anxious its normal to have bad memories or dreams avoid places or people that remind you of the disaster and experience trouble sleeping eating or paying attention some people may have short tempers or get angry easily if these reactions are affecting your daily life consider talking to a counselor or doctor for available treatments
do you have information about coronary artery bypass surgery,in coronary artery disease the arteries that supply blood to the heart muscle grow hardened and narrowed treatments like lifestyle changes medicines and angioplasty may not be effective leading to the need for coronary artery bypass surgery the surgery creates a new path for blood flow by attaching a healthy vein or artery to the coronary artery bypassing the blockage the results are usually excellent with many people remaining symptom-free for many years
do you have information about cosmetic dentistry,cosmetic dentistry can help with stained broken or uneven teeth procedures include bleaching filling chips or rough spots filling cavities reshaping teeth closing gaps and covering broken teeth with crowns
do you have information about cosmetics,cosmetics are products applied to the body to clean beautify or alter its appearance they include hair dyes makeup perfumes and skin-care creams some cosmetics like dandruff shampoo and antiperspirant deodorant are also drugs these products can cause allergic reactions often starting with red and irritated skin and fragrances and preservatives are common culprits
do you have information about cpr,when someones blood flow or breathing stops seconds count permanent brain damage or death can happen quickly cpr is an emergency procedure that can maintain circulation and breathing until medical help arrives even without training you can do hands-only cpr for a teen or adult using chest compressions to keep blood circulating
do you have information about critical care,critical care helps people with life-threatening injuries and illnesses treating problems like surgery complications accidents infections and severe breathing issues it involves close attention from a team of specially-trained healthcare providers in an icu or trauma center using equipment like monitors iv tubes and breathing machines
do you have information about ct scans,computed tomography ct is a type of imaging that uses special x-ray equipment to make cross-sectional pictures of your body doctors use ct scans to look for broken bones cancers blood clots signs of heart disease and internal bleeding
do you have information about dash diet,the dash diet is an eating plan based on research that lowers high blood pressure and improves cholesterol levels reducing the risk of heart disease it emphasizes vegetables fruits whole grains fish poultry beans seeds nuts and vegetable oils while limiting sodium sweets sugary beverages and red meats
do you have information about dental health,its important to take care of your mouth and teeth starting in childhood to keep your mouth and teeth healthy brush your teeth every day with a fluoride toothpaste clean between your teeth daily snack smart dont smoke or chew tobacco and see your dentist regularly
do you have information about diabetes medicines,diabetes means high blood glucose levels if diet and exercise dont control it medicines may be needed the type of medicine depends on the type of diabetes schedule and other health conditions type 1 diabetes requires insulin while type 2 diabetes often requires pills which can be single or combination pills and may be used with insulin
do you have information about diabetic diet,healthy eating helps keep blood sugar in target range a critical part of managing diabetes a registered dietitian can create a personalized eating plan considering weight medicines lifestyle and other health problems key components of a healthy diabetic diet include limiting high-sugar foods eating smaller portions being mindful of carbohydrates and consuming a variety of whole-grain foods fruits and vegetables
do you have information about diagnostic imaging,diagnostic imaging lets doctors look inside your body for clues about a medical condition various machines and techniques create pictures of body structures and activities the type of imaging used depends on symptoms and the body part being examined techniques include x-rays ct scans nuclear medicine scans mri scans and ultrasound some tests are painless and easy while others may be uncomfortable or involve radiation exposure
do you have information about dialysis,when your kidneys fail you need treatment to replace their work dialysis is a treatment that filters your blood to remove harmful wastes extra salt and water there are two main types hemodialysis which uses a machine and peritoneal dialysis which uses the lining of your abdomen to filter your blood
do you have information about dietary fats,fats are a type of nutrient that provide energy and help absorb vitamins however not all fats are the same saturated fats like butter and trans fats found in partially hydrogenated oils should be avoided instead opt for healthier options like canola olive safflower sesame or sunflower oils
do you have information about dietary fiber,dietary fiber is a type of carbohydrate found in plants including whole grains nuts and seeds and fruit and vegetables it adds bulk to your diet helping you feel full faster and aiding digestion which can help prevent constipation
do you have information about dietary proteins,protein is found in every cell of the body and is necessary for building and maintaining bones muscles and skin it is obtained from foods such as meat dairy products nuts and certain grains and beans animal-based proteins are complete while plant-based proteins are incomplete and require combination to provide all necessary amino acids it is essential to consume protein daily as the body does not store it like it does fats or carbohydrates and the required amount varies based on age sex health and physical activity
do you have information about dietary supplements,dietary supplements are vitamins minerals herbs and other products that can come in various forms while they dont undergo the same testing as drugs some can play a crucial role in health such as calcium and vitamin d for strong bones and folic acid for preventing birth defects to take supplements safely inform your healthcare provider follow label instructions check with them before surgery and consult trustworthy sources
do you have information about diets,a healthy diet may include fruits vegetables whole grains lean meats poultry fish beans eggs and nuts it goes easy on saturated fats trans fat cholesterol salt and added sugars there are many types of diets including vegetarian mediterranean and diets for people with health problems to lose weight portion control is key and you can still eat your favorite foods as long as you pay attention to total calories
do you have information about disaster preparation and recovery,preparing for a disaster can reduce fear anxiety and losses know the risks and danger signs of different types of disasters such as natural ones like hurricanes tornadoes and floods or man-made ones like bioterrorist attacks or chemical spills have a disaster plan be ready to evacuate and know basic medical treatment ensure you have necessary insurance including flood insurance
do you have information about drinking water,the amount of water you need depends on your size activity level and the weather where you live the water you drink is a combination of surface water and groundwater which can vary in quality depending on the source and treatment
do you have information about drug safety,the fda evaluates drug safety by examining side effects manufacturing animal testing and clinical trials
do you have information about drugs and young people,drug abuse is a serious public health problem that affects almost every community and family young people whose brains are still developing may be more susceptible to drug abuse and addiction due to their brains immaturity
do you have information about ebola,ebola is a severe and often fatal disease caused by a virus it can spread from an infected animal to a human and then between humans through direct contact with a patients blood or secretions symptoms include fever headache joint and muscle aches weakness diarrhea vomiting stomach pain and lack of appetite early symptoms are similar to other diseases making diagnosis difficult if suspected patients should be isolated and public health professionals notified there is no cure but treatment involves supportive care
do you have information about ecigarettes,e-cigarettes are battery-operated devices that heat a liquid containing nicotine flavorings and chemicals to produce a vapor inhaled by the user some people believe they are safer than cigarettes and can help quit smoking but the health risks and effectiveness are not well understood
do you have information about electromagnetic fields,electric and magnetic fields emfs surround electrical devices including power lines wiring microwave ovens computers and cell phones some studies suggest a link between emf exposure and childhood leukemia but others have not found a link to other childhood cancers research on wireless and cellular phones potential to cause cancer is ongoing as they emit radio-frequency energy
do you have information about end of life issues,planning for the end of life can be difficult but deciding what end-of-life care best suits your needs when youre healthy can help those close to you make the right choices this includes making choices about goals of care where you want to spend your final days treatments and type of palliative and hospice care
do you have information about endoscopy,endoscopy is a procedure that lets your doctor look inside your body using an instrument called an endoscope or scope scopes have a tiny camera attached to a long thin tube which the doctor moves through a body passageway or opening to see inside an organ there are many different kinds of endoscopy including arthroscopy bronchoscopy colonoscopy cystoscopy laparoscopy and upper gastrointestinal endoscopy
do you have information about environmental health,our environment affects our health and pollution can lead to health problems for example air pollutants can trigger asthma attacks while radon in the soil and chemicals like lead asbestos and mercury from human activities can also pose risks
do you have information about ergonomics,ergonomics looks at the work you do tools you use and job environment to find the best fit between you and your job conditions examples of ergonomic changes include adjusting the computer keyboard position to prevent carpal tunnel syndrome ensuring the desk chair height allows feet to rest flat learning proper lifting techniques to prevent back injuries and using handle coatings or gloves to reduce power tool vibrations
do you have information about evaluating health information,consider the source of health information look for an about us page to see who runs the site focus on quality is there an editorial board and is information reviewed before posting be skeptical especially of information that sounds too good to be true
do you have information about exercise and physical fitness,regular physical activity can help control weight lower risk of heart disease type 2 diabetes and some cancers strengthen bones and muscles improve mental health and mood and increase chances of living longer even 10 minutes of exercise a day can be beneficial as long as its fun and matches your abilities
do you have information about exercise for children,most children need at least an hour of physical activity every day regular exercise helps them feel less stressed better about themselves more ready to learn and keeps them healthy parents can set a good example by being active themselves and exercising together can be fun
do you have information about exercise for seniors,exercise and physical activity are beneficial for seniors with four main types endurance aerobic activities like brisk walking jogging dancing swimming and biking strength exercises like lifting weights or using resistance bands balance exercises to prevent falls and flexibility exercises to stretch muscles and maintain limberness
do you have information about eye wear,eye wear protects or corrects your vision with examples including sunglasses safety goggles glasses and contact lenses if you need corrective lenses you may choose between contacts or glasses both requiring a prescription
do you have information about farm health and safety,farming is one of the most dangerous jobs in the us with many health and safety hazards including chemicals machinery hazardous areas and livestock farming injuries are common often caused by physical labor and accidents with most involving machinery proper machine inspection and maintenance as well as using safety gear can help prevent accidents
do you have information about fetal health and development,during each trimester the fetus grows and develops and specific prenatal tests monitor both the mothers and fetal health with modern technology health professionals can detect birth defects identify problems that may affect childbirth and correct some fetal problems before birth
